"Event","Word","a1","a2","a3","a4","IsSigmoid"
"4u9525","4u9525","3.82104771693318","-1.45587724251446","1.37206132956254","107.115018642406","TRUE"
"4u9525","germanwings","3.80737613383017","-1.83721733935992","1","102.203307200557","TRUE"
"4u9525","gwi18g","3.82905691591504","-0.0342949065535138","7.55969600935412","132.907535671237","FALSE"
"MH17","malaysia","3.39830910899755","-1.91128954442433","1","135.924522227994","TRUE"
"MH17","mh17","4.02756013737253","-2.26486417987334","1","146.357538920998","TRUE"
"afghan_landslide","barik","3.92928375920499","0","1","102.648674652369","FALSE"
"afghan_landslide","landslide","3.81380368419701","0","1","98.6789176945902","FALSE"
"afghan_landslide","mudslide","3.93690923567854","0","1","100.248548228224","FALSE"
"boston_bombing","bomb","2.8191945763343","-1.28677806115036","1","71.5505491940615","TRUE"
"boston_bombing","boston","2.79377203319093","-2.03363601264314","1","61.5308658723151","TRUE"
"charlotte","baby","2.05199211907129","-0.185010340689361","1","103.696799719657","FALSE"
"charlotte","charlotte","3.57001641647931","-0.193759816939776","1","107.591470993442","FALSE"
"charlotte","royal","3.03507574764051","-0.890262536323291","1.46559799189223","103.103316352162","TRUE"
"chelyabinsk_meteor","chelyabinsk","3.76497549080342","-0.911803050372872","2.02409422581813","51.0901994237175","FALSE"
"chelyabinsk_meteor","explosion","3.55037195811717","-0.493155374383118","29.4906110131904","92.4630926241624","FALSE"
"chelyabinsk_meteor","meteor","3.5506813997783","-1.30964262657284","1","53.3748722329379","FALSE"
"chibok_kidnap","back","1.49947266405939","-0.0680324220969891","21.7456405454477","100.045149658529","FALSE"
"chibok_kidnap","boko","3.6875965480432","-0.237058723586999","2.8199550169327","41.0117772790801","FALSE"
"chibok_kidnap","bring","2.61722131662724","-0.0685348513790495","15.2187106460911","60.5420874596053","FALSE"
"chibok_kidnap","chibok","3.93052034136046","-0.113976315040891","1","48.778949401607","FALSE"
"chibok_kidnap","girls","2.29960939059808","-0.0412570616173464","13.80684277629","65.6195010713722","FALSE"
"chibok_kidnap","haram","3.60948226141469","-0.184827585206377","32.4242015587111","68.0332229699218","FALSE"
"chibok_kidnap","kidnap","3.3434106277311","-0.0416642517014732","37.2120966689487","84.1423263546152","FALSE"
"cyclone_phailin","cyclone","3.42352715576543","0","1","100.283523149184","FALSE"
"cyclone_phailin","odisha","3.78143985694865","-0.279774920671288","2.07989723206738","109.586594200536","FALSE"
"cyclone_phailin","phailin","3.35554121554721","-0.108191343867288","13.6017561421476","112.541486199469","FALSE"
"garissa","attack","2.88162293600281","-0.203081581186359","25.3323120730058","147.09252233379","FALSE"
"garissa","garissa","4.07393908608187","-1.03916979220245","1","138.214112069546","TRUE"
"nepal_quake2","nepal","2.89658417574462","-1.31309894924853","1","140.84077979114","TRUE"
"nepal_quake2","quake","3.04588917754916","-1.53184342615874","1","133.503098177286","TRUE"
"nepal_quake","earthquake","3.71657049341388","-2.03483845856801","1","78.0729251807774","TRUE"
"nepal_quake","nepal","3.74334117116746","-1.88184417483538","1","87.1043398674532","TRUE"
"nepal_quake","quake","3.65437476912552","-2.01922900799159","1","78.0427188998633","TRUE"
"ontake_eruption","erupt","3.80222927209504","-0.459412753104082","1","100.009590935256","FALSE"
"ontake_eruption","ontake","3.91306787120773","-0.340322531069339","1","97.6973704201075","FALSE"
"ontake_eruption","volcano","3.73534318910276","-0.355961709417455","3.31817854609934","104.656346819867","FALSE"
"peshawar_school","peshawar","3.59906048261079","-1.26906751006273","1","65.2424800245478","TRUE"
"peshawar_school","school","2.03794647235366","-0.214124141581798","15.8195027090902","61.4670861768159","FALSE"
"peshawar_school","taliban","3.66332148495712","-1.042432618191","1","82.0018893253921","TRUE"
"qz8501","air","1.86168936676787","-0.466132618327148","1","96.7153110513086","FALSE"
"qz8501","airasia","3.94912069234344","-2.15814196684145","1","86.2936389411367","TRUE"
"qz8501","asia","2.82165165049989","-1.22295927431086","1","90.1838310296859","TRUE"
"qz8501","awq8501","4.06097341516226","-0.279310737823335","18.3525633631039","106.40798043335","FALSE"
"qz8501","qz8501","3.96289334136952","-2.08719817622537","1","89.6237445610069","TRUE"
"savar_collapse","collapse","3.28999788438937","-0.246122205067656","20.2931658745887","104.560466289242","FALSE"
"savar_collapse","rana","3.35018148123836","-0.103949177641274","18.586284277012","110.539149423765","FALSE"
"savar_collapse","savar","3.77387122351688","-0.205891419471678","13.4066981914396","102.4951031842","FALSE"
"sydney_hostage","hostage","3.57873869812885","-1.31623610154993","1","20.7882510089419","TRUE"
"sydney_hostage","sydney","2.95935686400352","-0.962019797693986","1","26.1892366050929","TRUE"
"typhoon_haiyan","haiyan","3.33155271624548","-0.147274303842819","17.7682270724699","107.483075657262","FALSE"
"typhoon_haiyan","philippines","2.96877900637035","-0.253313499650421","1","114.300500588616","FALSE"
"typhoon_haiyan","typhoon","3.1163000736917","-0.184440207351263","1","106.714724905213","FALSE"
